Allianz,03/08/2023,1. Allianz startet neues Venture zur Forderung von Start-ups.,still open
Allianz,03/08/2023,2. Allianz kundigt massiven Stellenabbau an.,still open
Allianz,03/08/2023,3. Allianz schliesst sich den Bemuhungen zur Eindammung des Klimawandels an.,still open
Allianz,03/08/2023,4. Allianz verkauft Vermogensverwaltungssparte.,still open
Allianz,03/08/2023,5. Allianz stellt neuen CEO vor.,still open
Allianz,03/08/2023,6. Allianz sponsert Olympische Spiele.,still open
Allianz,03/08/2023,7. Allianz startet Aktienruckkaufprogramm.,still open
Allianz,03/08/2023,8. Allianz verzeichnet Rekordgewinn im Geschaftsjahr 2020.,still open
Allianz,03/08/2023,9. Allianz bietet neues Versicherungspaket fur Unternehmen an.,still open
Allianz,03/08/2023,10. Allianz steigt in den Markt fur Elektromobilitat ein.,still open
Allianz,03/08/2023,11. Allianz grundet Tochtergesellschaft fur digitale Bankdienstleistungen.,still open
Allianz,03/08/2023,12. Allianz kauft Anteile am niederlandischen Versicherer ASR.,still open
Allianz,03/08/2023,13. Allianz teilt Vorhaben zur Reduzierung von CO2-Emissionen mit.,still open
Allianz,03/08/2023,14. Allianz baut Prasenz in Asien aus.,still open
Allianz,03/08/2023,15. Allianz und Deutsche Bank vereinbaren gemeinsame Investmentstrategie.,still open
Allianz,03/08/2023,16. Allianz investiert in innovative Technologien.,still open
Allianz,03/08/2023,17. Allianz stellt digitale Plattform fur Versicherungsvermittler vor.,still open
Allianz,03/08/2023,18. Allianz fuhrt neues Bonusprogramm fur Versicherte ein.,still open
Allianz,03/08/2023,19. Allianz sponsert renommiertes Kunstfestival.,still open
Allianz,03/08/2023,20. Allianz kauft Versicherer PIMCO.,still open
Allianz,03/08/2023,21. Allianz gibt neue Partnerschaft mit Autohersteller bekannt.,still open
Allianz,03/08/2023,22. Allianz fuhrt neues Risikomanagement-Tool ein.,still open
Allianz,03/08/2023,23. Allianz will den Anteil erneuerbarer Energien in seinem Portfolio erhohen.,still open
Allianz,03/08/2023,24. Allianz und BMW bieten gemeinsame Kfz-Versicherungen an.,still open
Allianz,03/08/2023,25. Allianz startet neues Online-Portal fur Kunden.,still open
Allianz,03/08/2023,26. Allianz investiert in Infrastrukturprojekte.,still open
Allianz,03/08/2023,27. Allianz kauft Versicherungsmakler-Netzwerk.,still open
Allianz,03/08/2023,28. Allianz startet neues Cyber-Versicherungsangebot.,still open
Allianz,03/08/2023,29. Allianz fuhrt neue Krankenversicherungen ein.,still open
Allianz,03/08/2023,30. Allianz und Telefonica kooperieren bei der Entwicklung von 5G-Netzwerken.,still open
Allianz,03/08/2023,31. Allianz und SAP vereinbaren Partnerschaft im Bereich der Digitalisierung.,still open
Allianz,03/08/2023,32. Allianz baut Prasenz in Lateinamerika aus.,still open
Allianz,03/08/2023,33. Allianz will seine Investitionen in erneuerbare Energien verdoppeln.,still open
Allianz,03/08/2023,34. Allianz kauft weiteres Unternehmen im Bereich der Vermogensverwaltung.,still open
Allianz,03/08/2023,35. Allianz schliesst Partnerschaft mit Google.,still open
Allianz,03/08/2023,36. Allianz und China Insurance starten gemeinsame Versicherungsgesellschaft.,still open
Allianz,03/08/2023,37. Allianz stellt neues Versicherungsprodukt fur Drohnenbesitzer vor.,still open
Allianz,03/08/2023,38. Allianz und Audi entwickeln gemeinsam autonomes Fahren.,still open
Allianz,03/08/2023,39. Allianz will seine Digitalisierungsstrategie beschleunigen.,still open
Allianz,03/08/2023,40. Allianz investiert in sozialem Wohnungsbau.,still open
Allianz,03/08/2023,41. Allianz weitet sein Engagement im Bereich der kunstlichen Intelligenz aus.,still open
Allianz,03/08/2023,42. Allianz sponsert WM im Skifahren.,still open
